,index,Indices,Coef
0,10,f_v,-1.5578920246157222
1,12,s_v,0.8381594160550689
2,20,p2pk_v,0.7581034733345096
3,4,c_v,0.7291060437224612
4,22,p1in_v,0.40801209050023873
5,11,f_t,-0.4069471744809963
6,28,HR,0.2974456706163351
7,23,p1in_t,-0.20949971118651087
8,13,s_t,0.1731760656884809
9,0,a_v,-0.1717405228013843
10,19,p1pk_t,0.13331979271170555
11,1,a_t,0.1258528422485584
12,3,b_t,-0.07912153948126129
13,27,ms_t,0.043523309735788676
14,5,c_t,-0.03575033326979158
15,21,p2pk_t,0.022279109877029017
16,15,dia_t,-0.01910619089533916
17,26,ms_v,-0.0
18,25,p2in_t,0.0
19,24,p2in_v,0.0
20,2,b_v,-0.0
21,8,e_v,0.0
22,18,p1pk_v,0.0
23,17,dic_t,-0.0
24,16,dic_v,0.0
25,6,d_v,0.0
26,7,d_t,0.0
27,9,e_t,-0.0
28,14,dia_v,0.0
